route_id,agency_id,route_short_name,route_long_name
B94,ATM,B94,P.ta Volta - S. Ambrogio M2 M4
B94,ATM,B94,S. Ambrogio M2 M4 - P.ta Volta
B95,ATM,B95,Rogoredo FS M3 - San Cristoforo M4
B95,ATM,B95,San Cristoforo M4 - Rogoredo FS M3
B98,ATM,B98,Famagosta M2 - P.le Lotto M1 M5
B98,ATM,B98,P.le Lotto M1 M5 - Famagosta M2
B99,ATM,B99,Noverasco - Vigentino
B99,ATM,B99,Vigentino - Noverasco
BN15,ATM,BN15,NOTTURNA Gratosoglio - Duomo M1 M3
BN15,ATM,BN15,NOTTURNA Duomo M1 M3 - Gratosoglio
BN24,ATM,BN24,NOTTURNA Vigentino - Duomo M1 M3
BN24,ATM,BN24,NOTTURNA Duomo M1 M3 - Vigentino
BN25,ATM,BN25,NOTTURNA Centrale FS M2 M3 - Cadorna FN M1 M2
BN25,ATM,BN25,NOTTURNA Cadorna FN M1 M2 - Centrale FS M2 M3
BN26,ATM,BN26,NOTTURNA Centrale FS M2 M3 - Cadorna FN M1 M2
BN26,ATM,BN26,NOTTURNA Cadorna FN M1 M2 - Centrale FS M2 M3
BN27,ATM,BN27,NOTTURNA Viale Ungheria - Duomo M1 M3
BN27,ATM,BN27,NOTTURNA Duomo M1 M3 - Viale Ungheria
BNM1,ATM,BNM1,NOTTURNA Molino Dorino M1 - Sesto 1° Maggio FS M1 - Bisceglie M1 - Cairoli M1
BNM1,ATM,BNM1,NOTTURNA Sesto 1° Maggio FS M1 - Molino Dorino M1 - Cairoli M1 - Bisceglie M1
BNM2,ATM,BNM2,NOTTURNA Cascina Gobba M2 - P.za Abbiategrasso M2
BNM2,ATM,BNM2,NOTTURNA P.za Abbiategrasso M2 - Cascina Gobba M2
BNM3,ATM,BNM3,NOTTURNA San Donato M3 - Comasina M3
BNM3,ATM,BNM3,NOTTURNA Comasina M3 - San Donato M3
BNM4,ATM,BNM4,NOTTURNA Aeroporto Linate M4 - Lorenteggio
BNM4,ATM,BNM4,NOTTURNA Lorenteggio - Aeroporto Linate M4
BB12,ATM,BB12,Cacciatori delle Alpi - Roserio
BB12,ATM,BB12,Roserio - Cacciatori delle Alpi
B171,ATM,B171,Interno Cimitero Maggiore
B171,ATM,B171,Interno Cimitero Maggiore
B172,ATM,B172,Bicocca - Cimitero Bruzzano
B172,ATM,B172,Cimitero Bruzzano - Bicocca
B174,ATM,B174,Turro - Loreto
B174,ATM,B174,Loreto - Turro
B175,ATM,B175,P.te Lambro - Cimitero Lambrate
B175,ATM,B175,Cimitero Lambrate - P.te Lambro
B176,ATM,B176,Bruzzano - Interno Cimitero
B176,ATM,B176,Interno Cimitero - Bruzzano
B66,ATM,B66,Cadore - Peschiera Borromeo
B66,ATM,B66,Peschiera Borromeo - Cadore
B83,ATM,B83,H. Maggiore - Comasina M3
B83,ATM,B83,Comasina M3 - H. Maggiore
B121,ATM,B121,S.Donato M3 - S.Giuliano
B121,ATM,B121,S. Giuliano - S. Donato M3
B130,ATM,B130,S.Donato M3 (Marignano) - S.Giuliano M.se (Zivido)
B130,ATM,B130,S.Giuliano M.se (Zivido) - S.Donato M3 (Marignano)
B132,ATM,B132,S.Donato M3 (Marignano) - S.Donato (Di Vittorio)
B132,ATM,B132,S.Donato (Di Vittorio) - S.Donato M3 (Marignano)
B140,ATM,B140,Rogoredo FS-M3 - San Donato
B140,ATM,B140,San Donato - Rogoredo FS-M3
B165,ATM,B165,Comasina M3 - Limbiate (Ospedale)
B165,ATM,B165,Limbiate (Ospedale) - Comasina M3
B166,ATM,B166,Milano - Desio
B166,ATM,B166,Desio - Milano
B201,ATM,B201,Rozzano Via Milano - Rozzano Via Alberelle
B201,ATM,B201,Rozzano Via Alberelle - Rozzano Via Milano
B220,ATM,B220,Rozzano Via Solidarietà - Locate T. Via Piave
B220,ATM,B220,Locate T. Via Piave - Rozzano Via Solidarietà
B222,ATM,B222,Milano Q.re Vigentino - Pieve E. Stazione FS
B222,ATM,B222,Pieve E. Stazione FS - Milano Q.re Vigentino
B230,ATM,B230,Milano P.za Abbiategrasso M2 - Basiglio
B230,ATM,B230,Basiglio - Milano P.za Abbiategrasso M2
B321,ATM,B321,Milano - Buccinasco - Assago
B321,ATM,B321,Assago - Buccinasco - Milano
B322,ATM,B322,Bisceglie M1 - Cesano Boscone Q.re Tessera
B322,ATM,B322,Cesano Boscone Q.re Tessera - Bisceglie M1
B323,ATM,B323,Bisceglie M1 - Cesano Boscone FS
B323,ATM,B323,Cesano Boscone FS - Bisceglie M1
B324,ATM,B324,Romolo M2 - Corsico (P.za Europa)
B324,ATM,B324,Corsico (P.za Europa) - Romolo M2
B325,ATM,B325,Romolo M2 - Buccinasco (Via Lario)
B325,ATM,B325,Buccinasco (Via Lario) - Romolo M2
B326,ATM,B326,San Cristoforo M4 - Corsico (Via Curiel)
B326,ATM,B326,Corsico (Via Curiel) - San Cristoforo M4
B327,ATM,B327,Bisceglie M1 - Trezzano s.N. Q.re Zingone
B327,ATM,B327,Trezzano s.N. Q.re Zingone - Bisceglie M1
B328,ATM,B328,Assago Forum M2 - Pieve E. Stazione FS
B328,ATM,B328,Pieve E. Stazione FS - Assago Forum M2 - Pieve E. Stazione FS
B351,ATM,B351,P.le Negrelli - Buccinasco (Via Emilia)
B351,ATM,B351,Buccinasco (Via Emilia) - P.le Negrelli
B352,ATM,B352,Buccinasco - Assago
B352,ATM,B352,Assago - Buccinasco
B353,ATM,B353,Assago (via del Sole) - Assago Nord M2
B353,ATM,B353,Assago Nord M2 - Assago (via del Sole)
B423,ATM,B423,San Siro Stadio M5 - Settimo Milanese
B423,ATM,B423,Settimo Milanese - San Siro Stadio M5
B424,ATM,B424,Molino Dorino M1 - Bareggio
B424,ATM,B424,Bareggio - Molino Dorino M1
B431,ATM,B431,Bareggio - Passirana
B431,ATM,B431,Passirana - Bareggio
B433,ATM,B433,Bisceglie M1 - Passirana
B433,ATM,B433,Passirana - Bisceglie M1
B528,ATM,B528,RHO (Capuana) - Cimitero Maggiore
B528,ATM,B528,Cimitero Maggiore - RHO (Capuana)
B542,ATM,B542,Passirana - Rho Fiera M1
B542,ATM,B542,Rho Fiera M1 - Passirana
B560,ATM,B560,Arese - Milano (QT8 M1)
B560,ATM,B560,Milano (QT8 M1) - Arese
B561,ATM,B561,Arese (Vismara) - Rho Fiera M1
B561,ATM,B561,Rho Fiera M1 - Arese (Vismara)
B566,ATM,B566,Milano (Roserio) - Paderno Dugnano
B566,ATM,B566,Paderno Dugnano - Milano (Roserio)
B700,ATM,B700,Sesto FS M1 - Sesto Cimitero (p.Hiroshima)
B700,ATM,B700,Sesto Cimitero (p.Hiroshima) - Sesto FS M1
B701,ATM,B701,Sesto Rondo' M1 - Cologno Sud M2
B701,ATM,B701,Cologno Sud M2 - Sesto Rondo' M1
B702,ATM,B702,Cologno Nord M2 - Cinisello
B702,ATM,B702,Cinisello - Cologno Nord M2
B705,ATM,B705,Cormano - Comasina M3
B705,ATM,B705,Comasina M3 - Cormano
B707,ATM,B707,Cologno Nord M2 - Cologno Monzese Via Giordano
B707,ATM,B707,Cologno Monzese Via Giordano - Cologno Nord M2
B708,ATM,B708,Niguarda (Parco Nord) - Sesto Rondo' M1
B708,ATM,B708,Sesto Rondo' M1 - Niguarda (Parco Nord)
B709,ATM,B709,Cologno Sud M2 - Cologno S.Maurizio
B709,ATM,B709,Cologno S.Maurizio - Cologno Sud M2
B712,ATM,B712,Cinisello B. - Sesto S.G.
B712,ATM,B712,Sesto S.G. - Cinisello B.
B713,ATM,B713,Sesto (Cimitero Vecchio) - Bignami M5
B713,ATM,B713,Bignami M5 - Sesto (Cimitero Vecchio)
B727,ATM,B727,Stazione Cormano - Cusano Fn
B727,ATM,B727,Cormano-Cusano FN - Sesto FS M1
B728,ATM,B728,Bignami M5 - Cusano V.le Unione
B728,ATM,B728,Cusano V.le Unione - Bignami M5
B729,ATM,B729,Sesto FS M1 - Comasina M3
B729,ATM,B729,Comasina M3 - Sesto FS M1
B783,ATM,B783,Bicocca M5 - Bresso (v.Don Minzoni)
B783,ATM,B783,Bresso (v.Don Minzoni) - Bicocca M5
B901,ATM,B901,San Donato M3 - Aeroporto Linate M4
B901,ATM,B901,Aeroporto Linate M4 - San Donato M3
B902,ATM,B902,San Donato M3 - Peschiera Borromeo
